identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0005801843;SDCMG COFELY ex ELYO CENTRE OUEST;43386419600038;46, rue Pauline Kergomard;76600;LE HAVRE;SEINE-MARITIME;NORMANDIE;492455.000000;6937750.000000;2154;3530Z;Production et distribution de vapeur et d'air conditionné;;
0005802214;SETOM - Crosville;25270311100010;RD 133;27110;CROSVILLE-LA-VIEILLE;EURE;NORMANDIE;549666.000000;6896503.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0006700760;MAHLE BEHR France;91692069700015;5 avenue de la Gare;68250;ROUFFACH;HAUT-RHIN;GRAND-EST;1021655.000000;6771090.000000;2154;2931Z;Fabrication d'équipements électriques et électroniques automobiles;;
0006101473;CARRIERES DU BASSIN RHONALPIN - CBR;48754155900067;LES BROSSES;69720;SAINT-BONNET-DE-MURE;RHONE;AUVERGNE-RHONE-ALPES;856272.000000;6510043.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0006503466;LINDE FRANCE;56080176300502;ZI DE LIMAY PORCHEVILLE, 3, AVENUE OZANNE;78440;PORCHEVILLE;YVELINES;ILE-DE-FRANCE;609236.000000;6876813.000000;2154;2120Z;Fabrication de préparations pharmaceutiques;;
0005300738;QOVANS INDUSTRIE ex CLIPS;33655005800026;Rue de l'Industrie;14700;FALAISE;CALVADOS;NORMANDIE;466921.000000;6870765.000000;2154;2511Z;Fabrication de structures métalliques et de parties de structures;;
0005302201;FAURECIA SYSTEMES D'ECHAPPEMENT;42079743300075;Usine de Messei, RUE DE L'INDUSTRIE;61440;MESSEI;ORNE;NORMANDIE;441123.000000;6852608.000000;2154;2932Z;Fabrication d'autres équipements automobiles;;
0005302850;SOCIETE NOUVELLE WM;51363480800085;Chemin de Chambrais;14290;LA VESPIERE;CALVADOS;NORMANDIE;511119.000000;6883354.000000;2154;2932Z;Fabrication d'autres équipements automobiles;;
0006200472;ESTIA;49790599200028;28 rue Joseph Florentin;54000;NANCY;MEURTHE-ET-MOSELLE;GRAND-EST;935189.000000;6848064.000000;2154;3530Z;Production et distribution de vapeur et d'air conditionné;1.(c);Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
0005501007;Communauté Communes  Pays Bigouden Sud;24290070200018;Lézinadou;29120;PLOMEUR;FINISTERE;BRETAGNE;153546.000000;6774178.000000;2154;8411Z;Administration publique générale;5.(c);Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
0005514448;AC STARTER;35157986700018;Tregorff;29290;SAINT-RENAN;FINISTERE;BRETAGNE;138813.000000;6839824.000000;2154;3831Z;Démantèlement d'épaves;;
